iter	RMSE
0	0.9390075426
1	0.9192648416
2	0.9042500823
3	0.8937502679
4	0.8918691496
5	0.8907772886
6	0.8890790421
7	0.8836245507
8	0.883293403
9	0.8805038703
10	0.8798335542
11	0.8794141231
12	0.8770473047
13	0.8758851973
14	0.8753520971
15	0.8733745949
16	0.8725431789
17	0.8698861082
18	0.866505352
19	0.8653061016
20	0.8634871242
21	0.8630866997
22	0.8607054964
23	0.8596900509
24	0.8585086845
25	0.8580738441
26	0.8568714933
27	0.8563758249
28	0.8559082855
29	0.8554521974
30	0.8547473828
31	0.8541070171
32	0.8536698387
33	0.8533683038
34	0.8521291696
35	0.8518974462
36	0.8513988712
37	0.8508540826
38	0.8506067535
39	0.8501260251
40	0.849445887
41	0.8491171575
42	0.8487062401
43	0.8480062808
44	0.8467988989
45	0.8464125749
46	0.8458100337
47	0.8453863813
48	0.8448946041
49	0.8440955066
50	0.8437843735
51	0.8433610888
52	0.8426092413
53	0.8423585713
54	0.8416371994
55	0.8414433422
56	0.8408457912
57	0.8404582037
58	0.8402024208
59	0.8399485416
60	0.8393546503
61	0.8390562686
62	0.8387735745
63	0.838544878
64	0.8382073583
65	0.8379309534
66	0.8377103344
67	0.837438645
68	0.8371269516
69	0.8363385001
70	0.8359420717
71	0.8354934748
72	0.8352257314
73	0.8349625221
74	0.8345362983
75	0.83437006
76	0.8342354811
77	0.8338658593
78	0.833502834
79	0.8332654005
80	0.8330271071
81	0.8329346692
82	0.8327526775
83	0.8324094913
84	0.8321493535
85	0.8316049886
86	0.83149816
87	0.8311123784
88	0.8307447053
89	0.8305164592
90	0.8300759173
91	0.8298342539
92	0.8297114725
93	0.8295389425
94	0.8292209438
95	0.8289106236
96	0.8286760191
97	0.8285839679
98	0.8284495214
99	0.8283136704
100	0.8281211999
101	0.8272541813
102	0.826950283
103	0.8267044111
104	0.826430012
105	0.8259767986
106	0.8256112404
107	0.8253312504
108	0.8249467541
109	0.8248339592
110	0.8247201774
111	0.8246250212
112	0.8244205014
113	0.8242985435
114	0.824131588
115	0.8240140639
116	0.8238426085
117	0.8237061258
118	0.8235281907
119	0.8232571128
120	0.8230778769
121	0.8228407006
122	0.8227615826
123	0.8225312071
124	0.8223296973
125	0.8221916903
126	0.8220138764
127	0.8219474192
128	0.8218617337
129	0.8217474661
130	0.8215642588
131	0.82130841
132	0.8209461797
133	0.8207391734
134	0.8206355949
135	0.8204555869
136	0.8202633625
137	0.8201112306
138	0.8199423114
139	0.8196652529
140	0.8194880871
141	0.8192925258
142	0.8192161876
143	0.8191234745
144	0.8189097546
145	0.8188342459
146	0.8185574819
147	0.8183793859
148	0.8182267714
149	0.8181408615
150	0.8180421385
151	0.8179271708
152	0.8178323706
153	0.8177740325
154	0.8175985225
155	0.81744106
156	0.8172325592
157	0.8172069899
158	0.8170340204
159	0.8170340183
160	0.8167018505
161	0.816571578
162	0.8165307679
163	0.816421838
164	0.8162530603
165	0.8159381725
166	0.8158346911
167	0.8155064383
168	0.8154424307
169	0.8153435478
170	0.8150556405
171	0.81500531
172	0.8149705475
173	0.8148169229
174	0.8146350449
175	0.8145544393
176	0.8144136589
177	0.8142966041
178	0.8141913879
179	0.8141227049
180	0.8140444111
181	0.8138814572
182	0.8137795876
183	0.8137420409
184	0.8136758034
185	0.8136216346
186	0.8136072574
187	0.8134516268
188	0.8134180198
189	0.8132251017
190	0.8130997008
191	0.8130047722
192	0.812833514
193	0.8127179948
194	0.8125499072
195	0.8123606496
196	0.8121947355
197	0.8121318069
198	0.8120579053
199	0.8119687711
200	0.8118737041
201	0.8117307322
202	0.8117096087
203	0.8115173837
204	0.8113959849
205	0.8113601616
206	0.8113300581
207	0.8112895782
208	0.8112658642
209	0.8112186483
210	0.8111953391
211	0.8111492803
212	0.8110768758
213	0.8110413337
214	0.8110134943
215	0.8109512423
216	0.810903957
217	0.8109035285
218	0.8108614503
219	0.8107544421
220	0.8106568371
221	0.8105793009
222	0.8105304669
223	0.8102151216
224	0.8099255497
225	0.8098054111
226	0.8096982049
227	0.8096777027
228	0.809511522
229	0.809415515
230	0.8092800664
231	0.8092145373
232	0.8091908427
233	0.8090595356
234	0.8090237422
235	0.8088540008
236	0.8087819769
237	0.8086810912
238	0.808620705
239	0.8085093092
240	0.8083684733
241	0.808342849
242	0.8081999359
243	0.8080495912
244	0.8080125127
245	0.8078548758
246	0.8076859105
247	0.8076052164
248	0.8075320827
249	0.8074440153
250	0.8074033711
251	0.8071900975
252	0.8071693373
253	0.8070329921
254	0.8070223452
255	0.8069271037
256	0.8067613955
257	0.8066665607
258	0.8066051494
259	0.8065605796
260	0.8065098336
261	0.8064461206
262	0.8063287106
263	0.8062194152
264	0.8061989482
265	0.8060968984
266	0.8060677598
267	0.8059595102
268	0.8058357565
269	0.8057299266
270	0.8056947192
271	0.8056883031
272	0.8056081237
273	0.8055617961
274	0.8054581475
275	0.805421982
276	0.8053280345
277	0.8052724473
278	0.8051980573
279	0.8050845502
280	0.8049529374
281	0.8049066201
282	0.8047895171
283	0.8046778899
284	0.8046039743
285	0.804504232
286	0.8044805704
287	0.8041195146
288	0.8040559673
289	0.8040365362
290	0.8040209165
291	0.803892119
292	0.8038295296
293	0.8037006837
294	0.8036120856
295	0.8035765562
296	0.8034785871
297	0.8033773853
298	0.8033604016
299	0.8032304817
300	0.8030528858
301	0.8030062913
302	0.8028993168
303	0.8028122369
304	0.8027989799
305	0.8027112987
306	0.8026583474
307	0.8026374039
308	0.8024973809
309	0.8024137963
310	0.8023707806
311	0.8022666753
312	0.8021060973
313	0.8020509497
314	0.8019077624
315	0.8017770434
316	0.8016815672
317	0.8016442834
318	0.8015005082
319	0.8013581043
320	0.8013160977
321	0.8012596663
322	0.8011797513
323	0.8011189092
324	0.801012205
325	0.80090375
326	0.8006595851
327	0.8006424315
328	0.8005777695
329	0.8004769976
330	0.8004084741
331	0.8003355967
332	0.8002147881
333	0.8001382571
334	0.8001179982
335	0.8000697824
336	0.800013521
337	0.7999963654
338	0.7998993556
339	0.7998154262
340	0.7997676857
341	0.7996448145
342	0.7995841869
343	0.7995018792
344	0.7994495343
345	0.7993988347
346	0.7993572669
347	0.7993205587
348	0.7993131701
349	0.7992847163
350	0.7992081413
351	0.7991124345
352	0.7989584713
353	0.7989131205
354	0.7988732232
355	0.7988412381
356	0.7987609376
357	0.7987116683
358	0.7986901104
359	0.7986039526
360	0.7985393246
361	0.7985204763
362	0.7984573526
363	0.798375065
364	0.7983180615
365	0.7982650987
366	0.7982063081
367	0.7981954554
368	0.7981027147
369	0.7980440798
370	0.7980340001
371	0.7979384124
372	0.7978860969
373	0.7978496216
374	0.7978212863
375	0.7978077082
376	0.79772675
377	0.7977100722
378	0.797667317
379	0.7976330087
380	0.7974452776
381	0.7973169668
382	0.79726732
383	0.797195838
384	0.7971656359
385	0.797019418
386	0.7969777593
387	0.796941205
388	0.796900258
389	0.7967649732
390	0.7967433578
391	0.7966876479
392	0.7965969202
393	0.7965713589
394	0.7965625239
395	0.7964955584
396	0.7964724246
397	0.7963499042
398	0.7962661086
399	0.7962078417
400	0.7961959016
401	0.7961486723
402	0.7960606496
403	0.7959870709
404	0.7958473517
405	0.7958269807
406	0.79581919
407	0.7957805241
408	0.7956393792
409	0.7956010922
410	0.7955791064
411	0.7955198497
412	0.7954969431
413	0.7954735243
414	0.7954496338
415	0.7953915589
416	0.7953402124
417	0.7953117445
418	0.7952602224
419	0.7952134987
420	0.795207415
421	0.7951662042
422	0.7950544988
423	0.7950320367
424	0.794948
425	0.7949404902
426	0.7949231641
427	0.7948678304
428	0.7948451397
429	0.7948293388
430	0.7948182821
431	0.7947648146
432	0.7947591157
433	0.7947199896
434	0.7946448512
435	0.7945729774
436	0.7945461947
437	0.7944731656
438	0.7943756619
439	0.7943471936
440	0.7943244402
441	0.7941824813
442	0.7941748462
443	0.7941045802
444	0.7940800453
445	0.7940499031
446	0.7940413902
447	0.7940085594
448	0.7939489176
449	0.7938982508
450	0.7938502963
451	0.7938289531
452	0.7938213635
453	0.7938137837
454	0.7937828538
455	0.7937763921
456	0.7937689496
457	0.7937688515
458	0.7937478559
459	0.793717787
460	0.7936784352
461	0.7936525506
462	0.7936114627
463	0.7936099345
464	0.7936002783
465	0.7934433137
466	0.7933744724
467	0.7933548304
468	0.7933303373
469	0.7932664356
470	0.7929715092
471	0.7929629689
472	0.7929557351
473	0.7928786267
474	0.7928724927
475	0.7928512793
476	0.7927614451
477	0.7926783565
478	0.7925931701
479	0.7925235976
480	0.7925095949
481	0.7925026945
482	0.7924198441
483	0.7923896308
484	0.7923312518
485	0.7922678244
486	0.7922676907
487	0.7922493322
488	0.7921232717
489	0.7920842474
490	0.792059797
491	0.79204919
492	0.7919568819
493	0.791918857
494	0.7919106075
495	0.7917962067
496	0.7917714483
497	0.79173588
498	0.79170867
499	0.7916973503
500	0.7916806397
501	0.7915191784
502	0.79150952
503	0.7914994254
504	0.7914939395
505	0.7914781766
506	0.7914549522
507	0.7914503465
508	0.7914244269
509	0.7913366318
510	0.7912824932
511	0.7912504078
512	0.7912303053
513	0.7912060677
514	0.7910878433
515	0.791079574
516	0.7910629512
517	0.7910040138
518	0.7910015322
519	0.7909786665
520	0.7909017865
521	0.7908231664
522	0.7908077686
523	0.7908034419
524	0.7907587056
525	0.7907498053
526	0.7907059034
527	0.7906758486
528	0.7906689682
529	0.7905904862
530	0.7905841461
531	0.7905709187
532	0.7905449376
533	0.7905449375
534	0.7905028172
535	0.7904884513
536	0.790475929
537	0.7903384375
538	0.7902900874
539	0.7902102447
540	0.7901698571
541	0.7901467231
542	0.790099387
543	0.7900831458
544	0.7900126623
545	0.7899448047
546	0.7899350048
547	0.7899179892
548	0.7898537885
549	0.7897802142
550	0.789764558
551	0.7897577688
552	0.7897570758
553	0.7896996631
554	0.7896637014
555	0.7895749774
556	0.7895518452
557	0.7894789755
558	0.7894713987
559	0.7894264383
560	0.7894048111
561	0.7892901958
562	0.7892698092
563	0.7892099975
564	0.7891918508
565	0.7891142362
566	0.789107436
567	0.7890437502
568	0.7890216208
569	0.7890193552
570	0.7890065992
571	0.7889331648
572	0.7888755488
573	0.7888623728
574	0.7888539827
575	0.7888498816
576	0.7888382633
577	0.7888349291
578	0.7887274748
579	0.7887126902
580	0.7886693537
581	0.7886588049
582	0.7886456871
583	0.7886448544
584	0.7885518492
585	0.788509068
586	0.7884615311
587	0.7884019503
588	0.7884009249
589	0.7883878059
590	0.7883333526
591	0.7882764103
592	0.7882613769
593	0.7882243672
594	0.7882152015
595	0.7882151928
596	0.7881416527
597	0.7880918424
598	0.7880633749
599	0.7880413192
600	0.7880284267
601	0.7879814899
602	0.7879647434
603	0.7879527571
604	0.7879527465
605	0.7879395701
606	0.7879366472
607	0.7879231031
608	0.7879137835
609	0.7878974654
610	0.7878570284
611	0.7878086324
612	0.7878032758
613	0.7877638966
614	0.7877211188
615	0.7876881594
616	0.787679993
617	0.7876698399
618	0.7876349433
619	0.7876131665
620	0.7876044982
621	0.7875945245
622	0.7875923596
623	0.7875863739
624	0.7875082097
625	0.7874870829
626	0.7874636885
627	0.7874457779
628	0.7874217955
629	0.7873990281
630	0.7873125776
631	0.7872602961
632	0.7872568774
633	0.7872439362
634	0.7871682897
635	0.7870344386
636	0.7870242782
637	0.7869572016
638	0.7868940826
639	0.7868842852
640	0.786884282
641	0.7868084971
642	0.7867710519
643	0.7867352715
644	0.7867257261
645	0.786711383
646	0.786711347
647	0.7867107737
648	0.786703837
649	0.7866631554
650	0.7866457604
651	0.7866268994
652	0.7866009883
653	0.7865310969
