iter	Passed	Remaining
0	0	606
1	1	708
2	1	652
3	2	626
4	3	604
5	3	591
6	4	579
7	4	569
8	5	573
9	5	564
10	6	580
11	6	575
12	7	568
13	8	564
14	8	560
15	9	555
16	9	551
17	10	547
18	10	543
19	11	541
20	11	537
21	11	532
22	12	528
23	14	587
24	15	608
25	16	602
26	16	597
27	17	591
28	17	585
29	17	581
30	18	578
31	19	574
32	19	571
33	19	567
34	20	564
35	20	559
36	21	556
37	21	553
38	22	550
39	22	547
40	23	544
41	23	543
42	25	572
43	27	591
44	28	596
45	29	602
46	30	609
47	31	619
48	32	624
49	33	639
50	34	648
51	35	652
52	36	657
53	37	653
54	37	650
55	38	647
56	38	643
57	39	638
58	39	635
59	40	631
60	40	627
61	41	623
62	41	620
63	42	616
64	43	632
65	44	635
66	45	639
67	46	636
68	46	633
69	47	630
70	47	628
71	48	625
72	48	622
73	49	618
74	49	616
75	50	613
76	50	610
77	51	607
78	52	607
79	52	605
80	53	606
81	53	603
82	54	601
83	54	598
84	55	596
85	55	593
86	56	590
87	64	667
88	64	664
89	65	661
90	65	658
91	66	655
92	67	655
93	67	652
94	76	724
95	76	721
96	77	717
97	77	713
98	78	710
99	78	706
100	79	703
101	79	699
102	79	696
103	80	693
104	80	690
105	81	687
106	81	684
107	82	681
108	82	678
109	83	675
110	83	672
111	84	671
112	85	673
113	86	670
114	86	667
115	87	664
116	87	661
117	94	709
118	95	706
119	95	703
120	98	712
121	98	708
122	98	705
123	99	702
124	100	700
125	100	697
126	100	694
127	113	772
128	113	768
129	114	765
130	114	762
131	115	758
132	115	755
133	116	751
134	116	748
135	117	744
136	117	741
137	118	738
138	118	735
139	119	731
140	120	736
141	122	737
142	123	738
143	124	740
144	125	741
145	126	741
146	127	741
147	129	743
148	129	742
149	130	739
150	131	736
151	131	733
152	132	730
153	132	727
154	132	724
155	133	722
156	133	719
157	134	716
158	134	713
159	135	711
160	135	708
161	136	705
162	149	767
163	150	764
164	150	761
165	150	758
166	151	755
167	151	752
168	152	749
169	152	746
170	153	744
171	153	741
172	154	738
173	154	735
174	155	732
175	155	729
176	156	726
177	156	724
178	158	725
179	160	729
180	161	729
181	162	729
182	163	728
183	164	727
184	165	727
185	166	726
186	167	726
187	168	725
188	169	727
189	170	726
190	171	727
191	172	727
192	174	728
193	175	728
194	176	728
195	177	729
196	179	731
197	180	731
198	181	730
199	182	729
200	183	729
201	184	728
202	185	729
203	186	728
204	187	727
205	188	725
206	188	722
207	189	720
208	189	717
209	190	715
210	190	712
211	191	710
212	191	708
213	192	705
214	192	703
215	193	700
216	193	698
217	194	696
218	194	695
219	195	692
220	195	690
221	196	688
222	200	696
223	200	694
224	200	692
225	201	689
226	201	687
227	202	685
228	202	683
229	203	680
230	203	678
231	204	676
232	204	674
233	205	673
234	207	674
235	208	674
236	209	673
237	210	673
238	211	673
239	212	673
240	213	673
241	214	672
242	215	672
243	216	671
244	217	671
245	218	670
246	219	668
247	219	665
248	220	663
249	220	661
250	221	659
251	221	657
252	222	655
253	222	653
254	223	651
255	223	649
256	224	647
257	224	647
258	225	645
259	226	643
260	226	641
261	226	639
262	227	637
263	227	635
264	228	633
265	228	631
266	229	629
267	229	627
268	230	625
269	230	624
270	231	622
271	231	620
272	232	618
273	232	616
274	233	614
275	233	613
276	234	611
277	236	613
278	238	615
279	239	614
280	239	613
281	240	613
282	241	612
283	242	612
284	243	611
285	244	611
286	246	612
287	248	614
288	249	612
289	249	610
290	250	609
291	250	607
292	250	605
293	251	603
294	251	602
295	252	600
296	252	598
297	254	598
298	255	598
299	256	597
300	256	595
301	256	593
302	257	592
303	258	590
304	258	589
305	258	587
306	259	585
307	259	584
308	260	582
309	262	585
310	264	586
311	265	586
312	267	586
313	269	587
314	270	588
315	271	587
316	271	585
317	272	583
318	272	582
319	273	580
320	273	578
321	274	577
322	274	575
323	275	574
324	276	574
325	277	574
326	278	572
327	279	571
328	279	570
329	280	568
330	280	567
331	281	565
332	282	565
333	282	563
334	283	562
335	283	560
336	284	559
337	285	559
338	286	559
339	287	558
340	288	557
341	288	555
342	289	553
343	290	553
344	291	552
345	292	553
346	294	553
347	295	552
348	296	553
349	297	553
350	299	553
351	300	552
352	300	550
353	301	549
354	301	547
355	301	546
356	302	544
357	302	543
358	303	541
359	303	540
360	304	538
361	304	537
362	306	538
363	308	538
364	309	538
365	310	537
366	311	537
367	312	536
368	312	534
369	313	533
370	314	532
371	314	531
372	315	529
373	315	528
374	316	526
375	316	525
376	317	524
377	317	522
378	318	521
379	318	519
380	319	518
381	319	516
382	320	515
383	338	543
384	339	541
385	339	540
