step,mloss,gloss,loss
100.0,0.0,0.6965,0.6965
200.0,0.0,0.3253,0.3253
300.0,0.0,0.1768,0.1768
400.0,0.0,0.1323,0.1323
500.0,0.0,0.1215,0.1215
600.0,0.0,0.1146,0.1146
700.0,0.0,0.109,0.109
800.0,0.0,0.1023,0.1023
900.0,0.0,0.0959,0.0959
1000.0,0.0,0.0903,0.0903
1100.0,0.0,0.0854,0.0854
1200.0,0.0,0.0812,0.0812
1300.0,0.0,0.0778,0.0778
1400.0,0.0,0.0747,0.0747
1500.0,0.0,0.0727,0.0727
1600.0,0.0,0.0709,0.0709
1700.0,0.0,0.0691,0.0691
1800.0,0.0,0.0678,0.0678
1900.0,0.0,0.0665,0.0665
2000.0,0.0,0.0655,0.0655
2100.0,0.0,0.0648,0.0648
2200.0,0.0,0.0641,0.0641
2300.0,0.0,0.063,0.063
2400.0,0.0,0.0625,0.0625
2500.0,0.0,0.0617,0.0617
2600.0,0.0,0.0612,0.0612
2700.0,0.0,0.0601,0.0601
2800.0,0.0,0.0601,0.0601
2900.0,0.0,0.0591,0.0591
3000.0,0.0,0.0588,0.0588
3100.0,0.0,0.0582,0.0582
3200.0,0.0,0.0575,0.0575
3300.0,0.0,0.0572,0.0572
3400.0,0.0,0.0562,0.0562
3500.0,0.0,0.0557,0.0557
3600.0,0.0,0.0552,0.0552
3700.0,0.0,0.0547,0.0547
3800.0,0.0,0.0543,0.0543
3900.0,0.0,0.0538,0.0538
4000.0,0.0,0.054,0.054
4100.0,0.0,0.053,0.053
4200.0,0.0,0.0529,0.0529
4300.0,0.0,0.052,0.052
4400.0,0.0,0.0517,0.0517
4500.0,0.0,0.0514,0.0514
4600.0,0.0,0.0506,0.0506
4700.0,0.0,0.0506,0.0506
4800.0,0.0,0.0504,0.0504
4900.0,0.0,0.0502,0.0502
5000.0,0.0,0.0498,0.0498
5100.0,0.0,0.0493,0.0493
5200.0,0.0,0.0488,0.0488
5300.0,0.0,0.0483,0.0483
5400.0,0.0,0.048,0.048
5500.0,0.0,0.0472,0.0472
5600.0,0.0,0.0478,0.0478
5700.0,0.0,0.0467,0.0467
5800.0,0.0,0.0463,0.0463
5900.0,0.0,0.0464,0.0464
6000.0,0.0,0.0462,0.0462
6100.0,0.0,0.0455,0.0455
6200.0,0.0,0.0456,0.0456
6300.0,0.0,0.045,0.045
6400.0,0.0,0.0449,0.0449
6500.0,0.0,0.0445,0.0445
6600.0,0.0,0.0441,0.0441
6700.0,0.0,0.0438,0.0438
6800.0,0.0,0.0437,0.0437
6900.0,0.0,0.0431,0.0431
7000.0,0.0,0.043,0.043
7100.0,0.0,0.043,0.043
7200.0,0.0,0.0426,0.0426
7300.0,0.0,0.0425,0.0425
7400.0,0.0,0.042,0.042
7500.0,0.0,0.042,0.042
7600.0,0.0,0.0416,0.0416
7700.0,0.0,0.0412,0.0412
7800.0,0.0,0.0408,0.0408
7900.0,0.0,0.0407,0.0407
