step,mloss,gloss,loss
100.0,1.7579,1.0031,2.761
200.0,1.5595,1.0011,2.5606
300.0,1.4731,0.9994,2.4725
400.0,1.4308,0.99,2.4208
500.0,1.4297,0.9585,2.3882
600.0,1.4028,0.9035,2.3063000000000002
700.0,1.38,0.8264,2.2064
800.0,1.3615,0.7491,2.1106
900.0,1.357,0.7234,2.0804
1000.0,1.3206,0.6659,1.9865
1100.0,1.3086,0.6589,1.9675
1200.0,1.282,0.6326,1.9146
1300.0,1.2957,0.6248,1.9205
1400.0,1.2743,0.5827,1.857
1500.0,1.2678,0.5497,1.8175
1600.0,1.2532,0.5299,1.7831000000000001
1700.0,1.249,0.5259,1.7749000000000001
1800.0,1.2488,0.5141,1.7629
1900.0,1.2326,0.5084,1.7409999999999999
2000.0,1.2251,0.5029,1.7280000000000002
2100.0,1.2266,0.4888,1.7153999999999998
2200.0,1.2198,0.4715,1.6913
2300.0,1.2106,0.4555,1.6661
2400.0,1.1981,0.4331,1.6312
2500.0,1.2136,0.4207,1.6343
2600.0,1.1991,0.4072,1.6063
2700.0,1.2072,0.3895,1.5967
2800.0,1.1923,0.3611,1.5534
2900.0,1.1993,0.344,1.5433
3000.0,1.2008,0.3235,1.5243000000000002
3100.0,1.1827,0.3041,1.4868000000000001
3200.0,1.1913,0.2899,1.4812
3300.0,1.1898,0.2721,1.4619
3400.0,1.1838,0.2654,1.4492
3500.0,1.1777,0.2509,1.4285999999999999
3600.0,1.1839,0.2483,1.4322
3700.0,1.1869,0.2409,1.4278
3800.0,1.1765,0.2399,1.4164
3900.0,1.1853,0.2334,1.4187
4000.0,1.1704,0.2303,1.4007
4100.0,1.1809,0.2282,1.4091
4200.0,1.1841,0.2261,1.4102
4300.0,1.1735,0.2234,1.3969
4400.0,1.1796,0.2211,1.4007
4500.0,1.1739,0.2201,1.394
4600.0,1.1703,0.218,1.3882999999999999
4700.0,1.1733,0.2169,1.3902
4800.0,1.1675,0.215,1.3825
4900.0,1.1702,0.2145,1.3846999999999998
5000.0,1.1782,0.2131,1.3913
