step,mloss,gloss,loss
100.0,0.0,0.4398,0.4398
200.0,0.0,0.152,0.152
300.0,0.0,0.1376,0.1376
400.0,0.0,0.132,0.132
500.0,0.0,0.1278,0.1278
600.0,0.0,0.1262,0.1262
700.0,0.0,0.1248,0.1248
800.0,0.0,0.1253,0.1253
900.0,0.0,0.1226,0.1226
1000.0,0.0,0.1238,0.1238
1100.0,0.0,0.1222,0.1222
1200.0,0.0,0.1209,0.1209
1300.0,0.0,0.1214,0.1214
1400.0,0.0,0.1221,0.1221
1500.0,0.0,0.1194,0.1194
1600.0,0.0,0.1214,0.1214
1700.0,0.0,0.1208,0.1208
1800.0,0.0,0.1202,0.1202
1900.0,0.0,0.1183,0.1183
2000.0,0.0,0.1202,0.1202
2100.0,0.0,0.1192,0.1192
2200.0,0.0,0.1195,0.1195
2300.0,0.0,0.1192,0.1192
2400.0,0.0,0.1169,0.1169
2500.0,0.0,0.1192,0.1192
2600.0,0.0,0.1178,0.1178
2700.0,0.0,0.12,0.12
2800.0,0.0,0.1174,0.1174
2900.0,0.0,0.1178,0.1178
3000.0,0.0,0.1173,0.1173
3100.0,0.0,0.117,0.117
3200.0,0.0,0.1168,0.1168
3300.0,0.0,0.1176,0.1176
3400.0,0.0,0.1162,0.1162
3500.0,0.0,0.1169,0.1169
3600.0,0.0,0.1141,0.1141
3700.0,0.0,0.1182,0.1182
3800.0,0.0,0.1151,0.1151
3900.0,0.0,0.1165,0.1165
4000.0,0.0,0.1156,0.1156
4100.0,0.0,0.1163,0.1163
4200.0,0.0,0.1146,0.1146
4300.0,0.0,0.1143,0.1143
4400.0,0.0,0.1166,0.1166
4500.0,0.0,0.1156,0.1156
4600.0,0.0,0.1165,0.1165
4700.0,0.0,0.1157,0.1157
4800.0,0.0,0.1166,0.1166
4900.0,0.0,0.1154,0.1154
5000.0,0.0,0.1142,0.1142
5100.0,0.0,0.1149,0.1149
5200.0,0.0,0.1146,0.1146
5300.0,0.0,0.1163,0.1163
5400.0,0.0,0.1141,0.1141
5500.0,0.0,0.1121,0.1121
5600.0,0.0,0.114,0.114
5700.0,0.0,0.1123,0.1123
5800.0,0.0,0.1133,0.1133
5900.0,0.0,0.1134,0.1134
6000.0,0.0,0.1146,0.1146
6100.0,0.0,0.1143,0.1143
6200.0,0.0,0.1124,0.1124
6300.0,0.0,0.1126,0.1126
6400.0,0.0,0.1141,0.1141
6500.0,0.0,0.1132,0.1132
6600.0,0.0,0.114,0.114
6700.0,0.0,0.112,0.112
6800.0,0.0,0.1115,0.1115
6900.0,0.0,0.1114,0.1114
7000.0,0.0,0.1117,0.1117
7100.0,0.0,0.1139,0.1139
7200.0,0.0,0.1105,0.1105
7300.0,0.0,0.1106,0.1106
7400.0,0.0,0.1127,0.1127
7500.0,0.0,0.1118,0.1118
7600.0,0.0,0.1107,0.1107
7700.0,0.0,0.1106,0.1106
7800.0,0.0,0.1114,0.1114
7900.0,0.0,0.11,0.11
8000.0,0.0,0.111,0.111
8100.0,0.0,0.1109,0.1109
8200.0,0.0,0.1127,0.1127
8300.0,0.0,0.1112,0.1112
8400.0,0.0,0.114,0.114
8500.0,0.0,0.1102,0.1102
8600.0,0.0,0.1113,0.1113
8700.0,0.0,0.1112,0.1112
8800.0,0.0,0.1114,0.1114
8900.0,0.0,0.1111,0.1111
9000.0,0.0,0.1108,0.1108
9100.0,0.0,0.1108,0.1108
9200.0,0.0,0.111,0.111
9300.0,0.0,0.1095,0.1095
9400.0,0.0,0.11,0.11
9500.0,0.0,0.1102,0.1102
9600.0,0.0,0.111,0.111
9700.0,0.0,0.1111,0.1111
9800.0,0.0,0.1108,0.1108
9900.0,0.0,0.1089,0.1089
10000.0,0.0,0.1108,0.1108
10100.0,0.0,0.1123,0.1123
10200.0,0.0,0.1104,0.1104
10300.0,0.0,0.1116,0.1116
10400.0,0.0,0.1109,0.1109
10500.0,0.0,0.1086,0.1086
10600.0,0.0,0.1099,0.1099
10700.0,0.0,0.1107,0.1107
10800.0,0.0,0.1098,0.1098
10900.0,0.0,0.1093,0.1093
11000.0,0.0,0.1096,0.1096
11100.0,0.0,0.1095,0.1095
11200.0,0.0,0.1107,0.1107
11300.0,0.0,0.1087,0.1087
11400.0,0.0,0.1082,0.1082
11500.0,0.0,0.1112,0.1112
11600.0,0.0,0.1097,0.1097
11700.0,0.0,0.1106,0.1106
11800.0,0.0,0.1088,0.1088
11900.0,0.0,0.1086,0.1086
12000.0,0.0,0.1092,0.1092
12100.0,0.0,0.1077,0.1077
12200.0,0.0,0.1086,0.1086
12300.0,0.0,0.1077,0.1077
12400.0,0.0,0.1088,0.1088
12500.0,0.0,0.1085,0.1085
12600.0,0.0,0.1087,0.1087
12700.0,0.0,0.1093,0.1093
12800.0,0.0,0.1082,0.1082
12900.0,0.0,0.109,0.109
13000.0,0.0,0.1081,0.1081
13100.0,0.0,0.1083,0.1083
13200.0,0.0,0.1075,0.1075
13300.0,0.0,0.1097,0.1097
13400.0,0.0,0.1082,0.1082
13500.0,0.0,0.109,0.109
13600.0,0.0,0.109,0.109
13700.0,0.0,0.1079,0.1079
13800.0,0.0,0.1079,0.1079
13900.0,0.0,0.11,0.11
14000.0,0.0,0.1066,0.1066
14100.0,0.0,0.107,0.107
14200.0,0.0,0.1094,0.1094
14300.0,0.0,0.1074,0.1074
14400.0,0.0,0.1074,0.1074
14500.0,0.0,0.1075,0.1075
14600.0,0.0,0.1078,0.1078
14700.0,0.0,0.1081,0.1081
14800.0,0.0,0.1079,0.1079
14900.0,0.0,0.1078,0.1078
15000.0,0.0,0.1076,0.1076
15100.0,0.0,0.1074,0.1074
15200.0,0.0,0.1073,0.1073
15300.0,0.0,0.1071,0.1071
15400.0,0.0,0.1078,0.1078
15500.0,0.0,0.1074,0.1074
15600.0,0.0,0.1063,0.1063
15700.0,0.0,0.1078,0.1078
15800.0,0.0,0.1066,0.1066
15900.0,0.0,0.104,0.104
16000.0,0.0,0.1075,0.1075
16100.0,0.0,0.1063,0.1063
16200.0,0.0,0.1054,0.1054
16300.0,0.0,0.1082,0.1082
16400.0,0.0,0.1048,0.1048
16500.0,0.0,0.1067,0.1067
16600.0,0.0,0.1057,0.1057
16700.0,0.0,0.1067,0.1067
16800.0,0.0,0.1073,0.1073
16900.0,0.0,0.1064,0.1064
17000.0,0.0,0.1074,0.1074
17100.0,0.0,0.1054,0.1054
17200.0,0.0,0.1073,0.1073
17300.0,0.0,0.1039,0.1039
17400.0,0.0,0.1056,0.1056
17500.0,0.0,0.1052,0.1052
17600.0,0.0,0.1051,0.1051
17700.0,0.0,0.1073,0.1073
17800.0,0.0,0.1069,0.1069
17900.0,0.0,0.1056,0.1056
